conf_block_hash,fee_rate_median,fee_rate_mean,mempool_size_median,mempool_size_mean,mempool_tx_count_median,n_txs
0000000000000000000028cd08501180eb0c74f9361bf7d7c79fc844d0e1a216,2.0,2.9520123839009287,766877.9722222222,633426.7009803922,2537.4513888888887,646
0000000000000000000028d88440d1074c1aec131508b4a835c0f3b8e2243c78,4.0,6.2993630573248405,1373392.6875,1233575.176722826,4281.770833333333,942
000000000000000000002a35f1bef54c1b277e4ecc29d7b419bf4723a425d552,5.0,6.5,4565027.131944444,4550325.285157085,11913.4375,938
000000000000000000002a5b300883e5b1b9daaf3d8e680812e100afe2f3d8c0,2.0,2.7199074074074074,1103847.8472222222,1103847.8472222222,3705.0138888888887,432
000000000000000000002af0ed36a6537865c0800143839d02ce5af78de6c4e2,2.0,3.436123348017621,401276.97222222225,401276.97222222225,1136.3819444444443,454
000000000000000000002b0d0fe92c3a4a65736df76900b491e0756b1b6ffd7f,1.0,1.4533333333333334,18071372.506944444,18071372.506944444,81733.24305555556,600
000000000000000000002b167eb64245bdd26c149ec818733958144608440f65,2.0,3.290566037735849,462385.9034482759,462385.9034482759,1439.3241379310346,265
000000000000000000002b368d85315f006d2142f35ce0db1e24f06c3f0b9b49,1.0,2.328125,560382.7847222222,560382.7847222222,1925.7430555555557,64
000000000000000000002b50a01427a8c4dc792b0220cb5971df83fc60de03f3,3.0,3.553440702781845,20870629.333333332,20668566.685680006,56306.67361111111,683
000000000000000000002b61ffef0c9cb8384909f9b966435c4dfbca19d1a956,2.0,3.5014836795252227,1005328.8402777778,1005328.8402777778,2862.0138888888887,674
000000000000000000002b806056dc2be3afb70c6d8b5f24ad005767818c0b77,1.0,2.2256410256410257,978699.9027777778,966439.4146189459,2699.3263888888887,390
000000000000000000002b852523d4b587000ff7ffe290a99dc822d31fb2e733,1.0,2.68974358974359,577782.0763888889,577782.0763888889,1916.5347222222222,780
000000000000000000002bd997ffb970adc3edb824f336c2a7df99a80b5d76d1,5.0,5.58303886925795,24317519.583333332,24162476.953932732,98644.65972222222,849
000000000000000000002c10f7a56aeb9a747df93fb0e8c2f8552fc38fded779,1.0,2.1468023255813953,656620.3055555555,781817.4251554424,1935.2291666666667,688
000000000000000000002c3150a1613ac6b8726baa6866f2cf61a87c67982a19,1.0,1.42560553633218,17606461.319444444,17748451.625973184,75271.80555555556,578
000000000000000000002ca872b48012a9fc426f5de6b82e628ea5872410d31b,3.0,5.16751269035533,20732206.847222224,20755093.35039481,88370.94444444444,788
000000000000000000002cb8c8a6d41bf4e65821df85b2354544953b84693c54,1.0,1.9789473684210526,17563895.194444444,17563895.194444444,43714.45138888889,95
000000000000000000002ce5747233cf1c111bb35fac4e3ab29986f8f5edab86,4.0,3.9704545454545452,4235223.513888889,4187294.7713936237,10853.180555555555,880
000000000000000000002cec61bf7c9b762504eafbea817cd2254c694ad8274d,2.0,2.776666666666667,16244863.666666666,16244863.666666666,79244.39583333333,300
000000000000000000002d1801e8fbf7a6d4a084790b185bc36f2652bf596837,1.0,2.2567567567567566,466615.2083333333,466615.2083333333,1555.5902777777778,148
000000000000000000002d3358f0cbb55f3ed85d69e379e4647e75646e81206a,4.0,4.23921568627451,1971706.611111111,1659687.6676016701,6797.430555555556,765
000000000000000000002dbb1d629d66c5c51499b6b16ec84911e70151cc794d,1.0,3.3976608187134505,270418.05555555556,270418.05555555556,881.4583333333334,342
000000000000000000002dcdc324e9087de1e540c4ca7d061409854e219f41d3,2.0,3.2287822878228782,23106571.423611112,23043226.06068061,65548.18055555556,542
000000000000000000002ddc31c9b53f3dee7ed4f6440284c9fdfa248bde222c,2.0,2.7163120567375887,372885.81944444444,372885.81944444444,1123.5625,141
000000000000000000002e4ecbcb4a8b37fe3d2fc9ec454a134c6242a4e1bc7f,2.0,2.930581613508443,1191624.1458333333,1207318.6739238065,3156.597222222222,533
000000000000000000002e664de5555412797ae073b8ea5e49b03c3e31a19c35,1.0,1.7269984917043741,18885384.444444444,19120645.603758167,83216.42361111111,663
000000000000000000002edea05decf1f5a1254b997b8e71a603d7c8a35248e3,3.0,4.500815660685155,3263803.486111111,3241755.223050875,7300.472222222223,613
